Code INSEE;Code Postal;Commune
91645;91370;VERRIERES-LE-BUISSON
77133;77126;COURCELLES-EN-BASSEE
91378;91730;MAUCHAMPS
77243;77400;LAGNY-SUR-MARNE
77414;77160;SAINT-HILLIERS
77214;77410;GRESSY
78297;78280;GUYANCOURT
91386;91540;MENNECY
91619;91730;TORFOU
77384;77550;REAU
77190;77370;FONTAINS
91495;91410;PLESSIS-SAINT-BENOIST
77374;77135;PONTCARRE
95658;95450;VIGNY
95181;95650;COURCELLES-SUR-VIOSNE
78444;78980;NEAUPHLETTE
78474;78910;ORVILLIERS
95543;95510;SAINT-CYR-EN-ARTHIES
78346;78980;LONGNES
95056;95270;BELLOY-EN-FRANCE
95287;95810;GRISY-LES-PLATRES
77147;77370;LA CROIX-EN-BRIE
95052;95260;BEAUMONT-SUR-OISE
91639;91820;VAYRES-SUR-ESSONNE
78278;78770;GOUPILLIERES
77118;77410;CLAYE-SOUILLY
94054;94310;ORLY
78020;78790;ARNOUVILLE-LES-MANTES
77380;77139;PUISIEUX
77183;77260;LA FERTE-SOUS-JOUARRE
95456;95270;NOISY-SUR-OISE
77165;77820;LES ECRENNES
78236;78910;FLEXANVILLE
91457;91290;LA NORVILLE
77065;77930;CELY
91494;91220;LE PLESSIS-PATE
95660;95570;VILLAINES-SOUS-BOIS
78160;78460;CHEVREUSE
77467;77130;LA TOMBE
95452;95590;NOINTEL
77347;77134;LES ORMES-SUR-VOULZIE
78621;78190;TRAPPES
78384;78670;MEDAN
91175;91410;CORBREUSE
91330;91510;LARDY
95028;95570;ATTAINVILLE
91631;91480;VARENNES-JARCY
95141;95420;CHARMONT
78030;78610;AUFFARGIS
77336;77610;NEUFMOUTIERS-EN-BRIE
77311;77520;MONTIGNY-LENCOUP
94046;94700;MAISONS-ALFORT
77520;77760;VILLIERS-SOUS-GREZ
95219;95120;ERMONT
93074;93410;VAUJOURS
92020;92320;CHATILLON
77504;77710;VILLEMARECHAL
77085;77600;CHANTELOUP-EN-BRIE
77211;77720;GRANDPUITS-BAILLY-CARROIS
78520;78550;RICHEBOURG
91461;91340;OLLAINVILLE
91044;91160;BALLAINVILLIERS
95197;95170;DEUIL-LA-BARRE
91079;91690;BOISSY-LA-RIVIERE
77162;77510;DOUE
77259;77230;LONGPERRIER
92004;92600;ASNIERES-SUR-SEINE
95633;95500;VAUDHERLAND
77400;77515;SAINT-AUGUSTIN
94058;94170;LE PERREUX-SUR-MARNE
77289;77171;MELZ-SUR-SEINE
78217;78680;EPONE
91136;91160;CHAMPLAN
95682;95720;VILLIERS-LE-SEC
95610;95450;THEMERICOURT
78053;78910;BEHOUST
91326;91260;JUVISY-SUR-ORGE
78681;78770;VILLIERS-LE-MAHIEU
77138;77390;COURTOMER
77236;77480;JAULNES
78344;78270;LOMMOYE
77148;77840;CROUY-SUR-OURCQ
77089;77370;LA CHAPELLE-RABLAIS
77477;77760;URY
78003;78660;ABLIS
95584;95640;SANTEUIL
77066;77320;CERNEUX
77448;77260;SEPT-SORTS
77386;77760;RECLOSES
92025;92700;COLOMBES
77255;77000;LIVRY-SUR-SEINE
77418;77650;SAINT-LOUP-DE-NAUD
77018;77700;BAILLY-ROMAINVILLIERS
91112;91150;BROUY
