OSM_ID;Code INSEE
7444;75056
23772;78322
23773;91534
27631;78343
27632;78117
27633;78620
27685;78640
27694;92060
27811;78545
27973;78073
28036;91312
28069;92071
29036;92023
29244;91064
29251;91377
29362;91479
29366;91027
29369;91286
30272;78297
30294;78686
30295;78646
30897;78356
31281;78242
31283;78524
31284;78158
31338;92077
31339;92022
31340;92072
31341;92048
31343;78455
31344;78674
31345;78518
31346;78165
31394;92076
31445;78350
33263;91235
33338;91549
33339;91667
33352;91347
33361;91425
33362;91665
33363;91685
33364;91044
33366;91570
33367;91216
33429;91589
33431;91432
33501;91587
33504;91477
33505;91471
33914;92019
34057;91458
34059;91666
34076;91363
34278;91339
34280;91333
34679;94021
34684;94065
37020;92020
37021;92032
37025;92007
37026;92049
37027;92046
37041;92014
48862;94016
49538;78423
49540;78621
49544;78208
49579;78688
49717;78383
50964;94068
51912;78490
51913;78615
51914;78152
51915;78571
52770;91635
53613;91679
53650;91272
53800;91538
53801;91122
54153;91105
54495;91581
54514;91540
54519;91292
55445;78644
55582;94054
57750;92002
58170;78418
59321;92075
59958;78650
67685;93055
67826;93061
70355;91645
71612;78143
72019;92033
72020;92012
72148;92064
72151;92047
72258;92073
72261;92063
73067;95313
73330;78372
73609;78190
73610;78146
73619;78124
73677;95134
73899;95572
73991;78561
74354;77131
74355;77042
74356;77070
74703;78255
74704;78531
74705;78324
74706;78484
74707;78385
74708;78107
74709;78444
74710;78245
74712;78354
74716;78528
74717;78057
74783;78068
74784;78147
74787;78668
75003;78311
75022;78586
75032;78391
75033;78437
75045;78031
75046;78104
75049;78647
75050;78597
75052;78677
75054;78501
75055;78402
75057;78029
75058;78238
75068;78033
75181;91412
75453;78358
75454;78551
75458;78005
75461;78172
75516;78396
75517;78015
75518;78643
75519;78642
75520;78140
75522;78062
75523;78389
75524;78310
75525;78520
75526;78285
75527;78076
75528;78474
76341;95203
76374;95598
76381;95219
76387;77257
76388;77280
76396;95369
76397;95014
76404;95426
77631;77069
77632;77022
77641;77425
77737;77185
78626;77359
78640;77412
78641;77065
78646;77040
78653;77518
78979;77006
78982;77378
78983;77435
79338;77294
79339;77118
79593;94038
79617;77407
79666;77339
79674;77389
80063;77152
80071;77288
80105;77285
80117;77038
80122;77039
80135;77067
80143;77445
80160;77326
80215;77487
80222;77394
80223;77528
80225;77495
80236;77296
80395;77251
80407;77122
80414;77384
80433;77410
80439;77447
80472;77195
80473;77306
80489;77034
80760;77222
80869;77493
81040;77081
82656;78224
85518;78043
85527;92040
85799;92050
85802;92051
86609;77284
86611;77475
86612;77300
86613;77330
86616;77231
86618;77343
86716;77175
86796;77367
86797;77476
86800;77283
86804;77526
86985;92044
86999;92024
87002;93070
87124;77114
87136;77053
87573;77148
87583;77380
87587;77173
87604;77163
87605;77274
87612;77437
87625;77205
87628;93001
87633;77309
87636;77335
87638;77358
87650;77077
87665;77129
87669;77490
87679;77460
87680;77120
87686;77084
87687;77235
87922;93066
88056;93039
88790;77431
88859;91599
88932;91195
88933;91180
88968;91691
89016;91441
89023;91135
89043;77126
89047;77204
89051;77157
89060;77401
89113;91159
89117;91037
89125;91654
89134;91408
89500;77382
89553;77111
89575;77018
89586;77307
89587;77449
90080;92078
90082;92036
90335;91228
90336;91182
91641;92004
91738;92025
91746;92009
91768;92026
91775;92035
91776;92062
92313;91687
92321;91434
96388;91411
102242;;94077
102810;;95210
102985;;95555
103051;;95582
103245;;95018
103270;;95063
103395;;94034
103967;;94003
104268;;94022
104271;;94002
104479;;94037
104729;;94001
104767;;94073
104768;;94081
104868;;94018
105014;;94078
105122;;94043
105146;;94076
105389;;94028
105404;;94046
105748;;94041
105794;;94011
105824;;94074
106189;;91191
106735;;94017
106764;;94075
106765;;94047
106767;;94056
107960;;94048
107966;;94004
108124;;94044
108129;;94071
108138;;94053
108144;;94070
108146;;94060
108147;;94055
108279;;94019
108284;;94059
108300;;94079
108310;;94015
108312;;94058
108318;;94067
108346;;94080
109361;;94052
109366;;94033
109400;;94042
109407;;94069
109434;;91326
114189;;91114
114424;;78048
115242;;95574
115243;;95199
115244;;95428
115245;;95197
115246;;95427
115247;;95288
115248;;95607
115249;;95252
116177;;95304
120429;;78082
120430;;78125
120457;;91461
120834;;95510
120837;;95183
120951;;95388
120952;;95074
120953;;95323
120954;;95637
120955;;95127
120956;;95450
120957;;95218
120958;;95500
120959;;95476
121217;;78133
122078;;78163
122645;;78220
123139;;78264
124767;;78305
124802;;78380
129423;;93048
129550;;93006
130492;;93051
130544;;93045
130580;;93064
130632;;93063
131216;;93053
131240;;93008
134947;;93049
135068;;93033
135828;;78415
138211;;93027
138471;;95594
138472;;95652
138473;;95149
138474;;95026
138530;;95682
138531;;95365
138532;;95214
138534;;95331
138535;;95493
138536;;95055
138537;;95144
138538;;95250
138539;;95604
138541;;95277
142007;;95352
142033;;95491
145561;;78451
145607;;78558
145623;;78559
145775;;95316
148845;;91494
148912;;91204
148954;;91468
149097;;91659
149203;;91174
149373;;91340
150419;;91386
150521;;91086
150543;;91521
150551;;91657
158481;;93029
158486;;93013
158667;;93010
158807;;93059
158809;;93072
158819;;93030
160818;;93073
161530;;95280
162209;;93007
162259;;93005
162261;;93078
162329;;93077
162337;;93062
162521;;93057
162527;;93071
162542;;93032
162562;;93050
162566;;93046
162847;;93074
162850;;93015
162851;;93047
162856;;93031
162857;;93079
162858;;93014
185716;;77281
185782;;77433
190661;;91573
190662;;91435
190663;;91553
190664;;91225
190665;;91577
190666;;91617
190937;;91179
215268;;77312
215331;;77266
215332;;77100
215333;;77188
215334;;77441
215335;;77079
215390;;77255
216256;;77037
216281;;77001
216293;;77463
216359;;77186
216360;;77014
216517;;77156
216518;;77333
222104;;77533
222105;;77179
222106;;77226
222519;;95563
222520;;95151
222531;;95585
222543;;95539
222545;;77494
222564;;77210
222696;;77501
223468;;77386
223646;;77458
224108;;77061
224969;;77442
226674;;77419
255383;;77313
270927;;91330
280578;;91207
280585;;91552
280610;;91103
280639;;91275
285141;;91041
285142;;91156
285607;;95612
296094;;91376
296105;;91132
299052;;91648
299434;;91332
300876;;91649
318010;;91038
318151;;78497
318521;;91232
319504;;91045
319514;;91047
319580;;91244
319832;;91085
324172;;91315
324726;;91619
324781;;91200
324872;;91374
324889;;91075
324936;;91001
324992;;91240
324999;;91579
325011;;91405
325975;;91069
325993;;91121
330993;;91115
333058;;91568
333096;;91131
333133;;91556
333136;;91109
333146;;91226
333177;;91390
333218;;91514
333227;;91631
333238;;95142
333264;;91079
338856;;78327
340096;;91129
341650;;91080
342701;;78113
349699;;77516
350579;;77338
354362;;78267
356542;;95610
356570;;95483
356744;;95169
357044;;95110
357180;;78314
357410;;78403
357461;;95625
357991;;95002
361653;;78536
363711;;95628
364756;;78202
365413;;78416
365976;;95480
366271;;78329
366404;;78317
367067;;78296
367219;;78246
369321;;78239
369773;;78290
370345;;78335
371002;;78362
374081;;95690
376531;;95282
386602;;78361
393082;;78401
393334;;78299
395036;;91345
395443;;91161
395488;;91689
396717;;91359
396728;;91273
396741;;91507
396770;;91318
396777;;91095
396799;;91184
396814;;91130
397089;;91099
397112;;91639
397179;;91293
397182;;91198
398178;;95060
398191;;95088
398212;;95154
398217;;95212
398224;;95241
398232;;95306
398270;;95371
398271;;95509
398272;;95580
398286;;95633
398290;;95641
398298;;95675
398309;;95424
401219;;78164
401599;;78368
401606;;78003
401613;;78601
402202;;78466
402210;;77003
402221;;77379
402234;;77404
402247;;77403
402259;;77483
402261;;77369
402272;;77023
402279;;77143
402367;;95176
402368;;95257
402614;;77108
402629;;77139
402643;;77055
402668;;77517
402678;;77062
402735;;77372
402741;;77479
402751;;77083
402757;;77337
402764;;77468
402773;;77258
402776;;77121
402786;;77146
402795;;77169
402876;;77438
402894;;77209
402897;;77221
402901;;77124
402916;;77085
402922;;77243
402925;;77059
402926;;77203
402928;;77450
403036;;77181
403039;;77058
403043;;77237
403050;;95394
403055;;77373
403064;;77249
403076;;77350
403812;;77027
403821;;77464
403831;;77155
403841;;77075
403931;;77099
403955;;77137
403963;;77390
404415;;77498
404467;;77238
404645;;95091
405619;;95488
406293;;77513
406319;;77232
406624;;95051
406900;;77276
406915;;77315
406958;;77193
406991;;77211
407905;;77474
408239;;77248
408255;;78013
408316;;77320
408360;;77036
408399;;77151
408485;;77028
408512;;77002
409302;;77183
409305;;77448
409374;;77388
409386;;77260
409480;;77215
409493;;77470
409690;;77020
409735;;77024
409791;;77033
410185;;77057
410211;;77080
410276;;77113
410491;;77071
410537;;77134
410608;;77168
411030;;77050
411043;;77273
412748;;77199
412760;;77352
412765;;77457
412807;;77278
412851;;77397
412941;;77317
413073;;77217
413139;;77272
413193;;77368
413209;;77279
413447;;78126
413448;;78092
414476;;77303
414478;;77318
414487;;77400
414489;;77418
414499;;77428
414500;;77469
414550;;78616
421704;;91201
422562;;91248
422577;;77206
422584;;77270
444108;;78230
444123;;78440
444222;;78337
444225;;78502
444243;;78564
444245;;78605
444335;;95436
448661;;91661
450262;;95120
450352;;95392
450627;;95678
450645;;95256
451009;;95061
452532;;95268
452549;;95019
453818;;91136
530470;;95527
530587;;95351
532676;;95205
534455;;95229
534461;;95489
534505;;95680
535224;;95058
535297;;95487
535316;;95116
536001;;95170
536180;;78683
536620;;95348
537377;;95592
538270;;95253
539774;;95379
539796;;95656
541590;;95119
541693;;95541
542849;;95429
542898;;95150
542906;;95101
543661;;95157
544581;;95012
545653;;95523
546698;;95308
546744;;95287
547975;;95102
549697;;95370
549762;;95447
551304;;95270
551402;;95676
551634;;95658
551642;;95535
553967;;95056
554048;;95660
554089;;95023
555120;;95452
555203;;95492
555205;;95094
555800;;78118
555802;;78460
555915;;95139
555933;;95627
557188;;95584
557993;;95213
562744;;95181
562756;;95422
562774;;95078
568405;;95271
569307;;95177
569314;;95254
570372;;95462
570439;;95011
571210;;95445
571835;;95355
571858;;95554
576181;;95543
576197;;95651
593798;;95166
593817;;95295
610754;;95301
661026;;95046
722064;;95309
722068;;95141
722078;;95298
722088;;95303
763296;;95059
812698;;95039
812709;;95211
812711;;95341
812763;;95008
812764;;95024
896186;;95446
896475;;95328
896609;;95258
897553;;95387
897637;;95611
897654;;95459
897672;;95054
897676;;95438
897900;;95028
897902;;95395
897907;;95409
898883;;95353
898903;;95052
898926;;95456
898952;;95504
898953;;95566
901087;;95430
901107;;95042
905758;;95529
905886;;78188
905893;;78344
905922;;78413
907149;;78346
908434;;78624
908507;;78638
908974;;78382
909857;;78227
909943;;78609
909950;;78261
909987;;78138
911061;;78123
911088;;78498
911093;;78007
911106;;78481
915859;;78009
915919;;78478
917393;;78472
917461;;78470
917496;;78506
917505;;78071
918216;;78557
918378;;78209
918479;;78516
919483;;78289
919524;;78307
920413;;78006
931421;;78291
932293;;78251
932299;;78367
932422;;78168
932432;;78550
932450;;78653
933752;;78262
933793;;78236
933871;;78465
933878;;78606
934707;;78464
934729;;78410
934765;;78618
934903;;78276
936838;;78077
936922;;78407
936936;;78283
936938;;78302
938077;;78522
941056;;78567
941121;;78120
942377;;78189
943886;;78160
943912;;78233
943915;;78196
943941;;78381
943948;;78366
945050;;78325
945080;;78281
945090;;78217
945144;;78265
945208;;78128
945216;;78608
946242;;78623
947029;;78672
947033;;78384
947051;;78096
947055;;78194
947066;;78263
949877;;78406
951214;;91093
951276;;91482
951328;;78575
951342;;78162
952226;;78084
952247;;78070
952259;;78320
952279;;78503
952289;;78089
952302;;78364
953170;;77180
953223;;91463
953247;;77514
953249;;77363
953279;;77291
953305;;77282
953314;;77323
953320;;77322
953421;;77259
953432;;78053
953439;;78513
953442;;78404
953479;;77153
953480;;78681
953495;;77392
953496;;78036
953512;;78034
953515;;78588
953542;;77214
954158;;77292
954184;;91421
954187;;91215
954523;;77013
954532;;77106
954533;;77112
954544;;77145
954547;;77171
954801;;77132
954963;;77125
954994;;77128
955004;;91097
955023;;77349
955078;;77430
955091;;77344
955204;;78171
955228;;78050
955345;;78030
957111;;78655
957124;;78486
959276;;78108
959294;;78269
959295;;78517
960162;;78443
962561;;78020
963095;;78278
963115;;78300
964558;;78475
1019855;78591
1021463;78565
1024413;78505
1024445;78439
1050512;91600
1173457;78576
1174036;91692
1176302;91017
1176343;91338
1178019;78087
1178021;78349
1178973;78499
1178989;78537
1180175;78569
1181424;78072
1181425;78530
1181439;78185
1181864;78417
1182970;78234
1182976;78237
1182978;78192
1184804;78442
1184807;78321
1185685;78431
1185861;78010
1185862;78049
1186776;78090
1186780;78206
1188014;78590
1190092;78562
1190093;78398
1190097;78420
1202523;78397
1202542;78334
1202547;78548
1202549;78193
1206160;91469
1207191;91106
1208079;91274
1208107;91560
1208163;91319
1209165;91111
1209184;91634
1209199;91249
1209276;91186
1209285;91243
1210504;91525
1210530;91546
1210549;91630
1214086;91222
1214142;91602
1214154;91148
1214206;91578
1214238;91378
1216145;91145
1216175;91175
1216207;91593
1216222;91519
1217243;91247
1217245;91284
1217263;91035
1223172;91098
1223188;91662
1223190;91081
1223200;91547
1223208;91393
1223209;91495
1225408;91511
1225480;91613
1225504;91016
1226430;91022
1226449;91544
1226789;91137
1227935;91399
1227942;91112
1228023;91067
1228029;91526
1229313;77010
1229327;77044
1229338;77052
1229353;77086
1229358;77138
1229363;77269
1229385;77426
1229760;91533
1229786;91294
1229792;91414
1229832;91629
1229875;91508
1229890;91473
1229892;91671
1229908;91223
1229911;91100
1229915;91433
1274859;77007
1287436;77234
1287590;77376
1287607;77196
1287613;77005
1289505;77511
1289587;77123
1289619;77427
1289641;77095
1289710;77094
1289777;77515
1292275;77233
1292420;77241
1292656;77420
1292753;77462
1292772;77525
1292781;77332
1292800;77308
1292810;77150
1292813;77364
1292814;77366
1296079;77008
1298100;77331
1298118;77265
1299074;77290
1299123;77117
1299138;77078
1302682;77142
1304244;77268
1304307;77440
1304386;77478
1304437;77130
1304515;77047
1304535;77049
1304582;77408
1306968;77505
1306978;77484
1306983;77443
1307025;77361
1307058;77225
1307894;77451
1307943;77415
1308183;77162
1308350;77411
1309504;77385
1310209;77154
1312767;77405
1312806;77429
1317401;77345
1319284;77043
1319326;77398
1319337;77472
1320516;77228
1320569;77512
1321615;77402
1321648;77314
1321718;77304
1322935;77287
1324342;77492
1325981;77182
1326026;77240
1327484;77030
1327975;77417
1328024;77093
1328061;77423
1328174;77247
1328229;77406
1330734;77032
1330740;77197
1330759;77436
1330785;77116
1330806;77432
1332795;77424
1337404;77066
1337468;77421
1337505;77097
1337515;77250
1341855;77519
1342577;77301
1342587;77444
1350351;77012
1350360;77275
1350428;77396
1351787;77026
1352999;77262
1353059;77246
1354660;77072
1354695;77459
1355560;77192
1356052;77391
1356056;77530
1357800;77532
1357827;77414
1357877;77147
1358973;77087
1358982;77135
1359106;77381
1359134;77119
1359191;77527
1360503;77201
1360526;77357
1360536;77365
1360541;77486
1360561;77239
1362274;77098
1362296;77149
1362308;77090
1362316;77481
1364101;77496
1364122;77416
1364208;77319
1364225;77109
1364244;77096
1364300;77295
1364338;77103
1364347;77453
1368271;77029
1368326;77534
1368386;77004
1368389;77082
1370188;77455
1371397;77253
1371399;77252
1371491;77377
1373318;77136
1373323;77127
1373350;77107
1375194;77277
1375203;77254
1375216;77104
1376286;77393
1376297;77031
1376328;77264
1376547;77144
1377529;77229
1377661;77091
1377708;77360
1377759;77224
1379366;77063
1379446;77219
1379490;77176
1379512;77371
1380537;77466
1380583;77508
1380624;77413
1380640;77141
1381751;77529
1381764;77521
1381769;77374
1381816;77510
1381820;77177
1381828;77336
1383106;77305
1383122;77191
1384426;77327
1384461;77383
1386441;77159
1386454;77298
1386508;77524
1388171;77167
1388193;77101
1388231;77467
1388293;77133
1388320;77293
1390169;77212
1391841;77019
1391851;77025
1391874;77321
1393010;77310
1393025;77051
1393046;77236
1394705;77507
1394719;77174
1394788;77289
1395805;77227
1396075;77522
1396125;77187
1396139;77523
1396171;77015
1397847;77208
1397883;77218
1397898;77341
1397899;77356
1399223;77076
1399234;77073
1399246;77456
1399263;77347
1400734;77325
1400792;77263
1400794;77434
1400836;77446
1400863;77461
1400873;77452
1400884;77355
1400885;77242
1401992;77454
1402043;77256
1402089;77068
1403488;77140
1403579;77509
1403610;77190
1403619;77089
1404695;77286
1404717;77223
1404740;77311
1404761;77439
1404770;77409
1404788;77194
1405871;77354
1405943;77480
1405975;77165
1406020;77245
1406024;77164
1407870;77056
1407944;77041
1407990;77009
1411115;77102
1411147;77110
1411213;77035
1412703;77297
1412718;77207
1412742;77011
1412786;77016
1412796;77348
1412804;77271
1414369;77342
1414496;77230
1414582;77200
1414595;77220
1414649;77395
1414678;77046
1414688;77198
1416413;77506
1417780;77172
1417798;77482
1417809;77387
1419481;77471
1419514;77485
1419536;77060
1419548;77328
1419672;77045
1419687;77178
1419696;77267
1421526;77399
1421559;77504
1423194;77088
1423256;77520
1423271;77244
1424886;77048
1425077;77216
1427535;77021
1427559;77054
1427770;77302
1427933;77531
1429554;77158
1429639;77115
1429687;77500
1429753;77489
1431246;77261
1431284;77353
1431303;77329
1431315;77370
1431361;77473
1432977;77465
1433069;77184
1433076;77161
1433128;77202
1433130;77340
1955945;77477
1959450;91021
2099528;91457
6838466;77316
6942687;78231
7858550;95040
